base,folder,camera,file,subfolder,filename,class,count,date_time,date_time_original,focal_length,exif_image_width,exif_image_length,waypoint,site,habitat,canopy_cov,elev_m,sui_top,sui_bottom,lon,lat,face_num,face_dir,camera angle,incline parallel,incline perpendicular,distance to quadrat_cm,deploy date,removal date,notes,aji_note
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0543.JPG.JPG,cf. Lamiaceae,1,2023:09:18 21:00:25,2023:09:18 21:00:25,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0544.JPG.JPG,Euphrasia rostkoviana aggr.,1,2023:09:19 05:00:01,2023:09:19 05:00:01,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0545.JPG.JPG,Euphrasia rostkoviana aggr.,1,2023:09:19 06:00:02,2023:09:19 06:00:02,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0546.JPG.JPG,Euphrasia rostkoviana aggr.,1,2023:09:19 07:00:04,2023:09:19 07:00:04,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0547.JPG.JPG,cf. Lamiaceae,7,2023:09:19 08:00:05,2023:09:19 08:00:05,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0547.JPG.JPG,White flower,1,2023:09:19 08:00:05,2023:09:19 08:00:05,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0549.JPG.JPG,Alchemilla vulgaris,1,2023:09:19 10:00:08,2023:09:19 10:00:08,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0550.JPG.JPG,cf. Euphrasia rostkoviana,1,2023:09:19 11:00:10,2023:09:19 11:00:10,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0551.JPG.JPG,cf. Euphrasia rostkoviana,1,2023:09:19 12:00:11,2023:09:19 12:00:11,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0552.JPG.JPG,Alchemilla vulgaris,1,2023:09:19 13:00:13,2023:09:19 13:00:13,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
